,canopy_moisture,run_max_mem_rss_bytes,sim_time,surface_moisture,threads,wind_direction,wind_speed,run_uuid,area,runtime,cpu_request,mem_request,cpu_usage_total,mem_usage_total,transmitted_packets_total,received_packets_total,transmitted_bandwidth_total,received_bandwidth_total
90,0.3,9269764,23361,0.1,1,90.0,5.0,192a13bd-982b-46c4-b89c-9740a96e721f,2543220.0,42653.0,-1.0,-1.0,85361.09838470467,20995067903.0,54970.30654929577,69631.52436619718,846598304.7136428,1142086779.836737
91,0.3,9263200,23361,0.1,1,90.0,3.0,23960625-e62a-44b8-8bee-ae88ba1f9c58,2543220.0,55829.0,1.0,17179869183.0,105494.12975854057,21056389119.0,47225.135721954255,43808.64217292341,878229120.4316301,23804069.13395896
92,0.3,9258168,23361,0.1,1,90.0,5.0,4da8b3d2-2de1-4f80-b38d-42d0b74065c5,2543220.0,49866.0,-1.0,-1.0,99533.54528746236,21056389119.0,51466.18573169524,97596.36455474596,843207497.1159062,314986454.6073301
93,0.3,2513724,16486,0.1,1,90.0,5.0,ee180ffd-726a-44b4-bdfe-5027e8addb50,1053216.0,12905.0,1.0,17179869183.0,25327.99753151467,5999431679.0,24467.00612183372,38607.27826418026,127865613.07241026,165112311.4036174
94,0.3,2513352,16486,0.1,1,90.0,3.0,18b304e1-db32-4d6a-9cc2-2160c2c82ae4,1053216.0,13363.0,1.0,17179869183.0,25788.23994906531,5999431679.0,24487.67963308817,37877.44500971628,130341381.49302259,158998990.0295296
95,0.3,9259312,23361,0.1,1,90.0,3.0,2914025d-ad59-404a-bbf0-0640eafb9965,2543220.0,53060.0,-1.0,-1.0,89147.35051624302,20987195392.0,72185.45084132679,182870.43447653396,893066858.2068822,613585994.8788363
96,0.3,9259888,23361,0.1,1,90.0,5.0,7e731d04-3bb7-4898-aae3-e6a7cb3af3f2,2543220.0,35989.0,-1.0,-1.0,72038.81472790604,20987195392.0,65817.79338917657,177094.42051748527,776270918.7661308,612237596.7037768
97,0.3,2575980,16486,0.1,1,90.0,5.0,303c221f-e3cc-4de5-83bd-7e6fb60477b3,1053216.0,13833.0,1.0,17179869183.0,20851.32002661631,5838143487.0,31747.714505715892,56611.015742191405,135009069.0824977,195205251.0961114
98,0.3,2575652,16486,0.1,1,90.0,3.0,2a7b334a-dedc-404c-8bd2-54c2ea1f600a,1053216.0,6986.0,1.0,17179869183.0,13982.773287147244,5836365823.0,23270.61063218391,47055.1301724138,103082553.34971265,193848566.87011498
99,0.3,9270780,23361,0.1,1,90.0,5.0,2e1cd701-2a65-4c22-8696-d5c204850fe7,2543220.0,48565.0,-1.0,-1.0,97337.5352578629,21002813439.0,57876.79398434282,84433.46466831479,886274818.2463948,725121991.959106
