,Unnamed: 0,canopy_moisture,run_max_mem_rss_bytes,sim_time,surface_moisture,threads,wind_direction,wind_speed,run_uuid,area,runtime,cpu_request,mem_request,cpu_usage_total,mem_usage_total,transmitted_packets_total,received_packets_total,transmitted_bandwidth_total,received_bandwidth_total
84,84,0.3,9263416,23361,0.1,1,90.0,5.0,a2f31fcf-58e0-42e9-9e80-c2666b579c2e,2543220.0,60123.0,-1.0,-1.0,120310.96859767904,19414032383.0,17691.711083374936,18285.036744882673,2174864.7290064897,6057294.697004492
85,85,0.3,9261584,23361,0.1,1,90.0,3.0,7bf9f0f8-5141-4751-9bf4-bceb909256d5,2543220.0,64352.0,-1.0,-1.0,124582.80855045342,19415085055.0,27764.825253969677,43172.48686805494,136917953.63974145,603628452.9963664
86,86,0.3,9260596,23361,0.1,1,90.0,3.0,0bfc0989-4d64-4a79-a817-5b0bfaec75dd,2543220.0,39064.0,-1.0,-1.0,117256.41623607633,29088804863.0,42563.894988257875,138357.37949853847,4083162.0544920154,1202887103.9681706
87,87,0.3,9262140,23361,0.1,1,90.0,5.0,bf5bc7e9-a7a4-4412-9cf0-69b5e3a524d0,2543220.0,62061.0,-1.0,-1.0,140322.57736300802,29094240255.0,51882.60932795851,148197.73067473707,307437649.5966722,1204589293.9160287
88,88,0.9,4373128,8998,0.1,1,75.0,2.235,15023a94-18fe-494e-b5e9-6cfdbb5dbe19,828144.0,7141.0,-1.0,-1.0,21384.188655581685,13978693631.0,48809.39726652602,192426.50746805657,5657179.671288969,1423889190.0834904
89,89,0.9,4373000,8998,0.1,1,90.0,2.235,debc968e-aa1e-4064-a8a9-705eb34c699e,828144.0,8729.0,-1.0,-1.0,24595.089432160283,13977853951.0,22019.019383966246,48277.906149482034,2397701.390775528,582156317.4207314
90,90,0.9,4373124,8998,0.1,1,105.0,2.235,f18c45ad-d871-4dae-8d4a-2f00ee45bf8e,828144.0,9161.0,2.0,-1.0,25052.01453020977,13977993215.0,15353.84177350987,32488.850835978134,38293020.42289052,317730584.64145285
91,91,0.9,4373220,8998,0.1,1,90.0,2.235,3df2dd81-31cb-45a9-bf4e-ff201b3b8f3a,828144.0,5445.0,-1.0,-1.0,32718.85416688386,27849875455.0,49998.146511602215,147905.66943370167,4878281.007421363,952689943.4300529
92,92,0.9,4373100,8998,0.1,1,105.0,2.235,9287439e-d78d-4039-8a67-5d08c3f47842,828144.0,5497.0,-1.0,-1.0,32930.195668545166,27839512575.0,50014.50152924353,147841.12511200676,4882357.337323327,952010202.3335283
93,93,0.9,4373192,8998,0.1,1,75.0,2.235,419b7b5a-93df-4ab2-8da5-fa021754c4c9,828144.0,5534.0,-1.0,-1.0,33020.0576886088,27850522623.0,50082.29366498203,147990.31640306025,4889563.004244531,952857486.7916865
94,94,0.3,9274316,23361,0.1,1,90.0,5.0,6ac8a7b4-1cf8-4fa4-b32d-aea328bd684e,2543220.0,40702.0,-1.0,-1.0,122081.9111384716,29136158719.0,42566.339489872174,123960.67552094397,4153443.6315693213,1203700774.809186
95,95,0.3,9273772,23361,0.1,1,90.0,3.0,41835adb-129b-410f-b971-707bd2e19270,2543220.0,64604.0,2.0,25769803775.0,145999.92940852928,29136138239.0,25678.730126513154,40056.10943244069,3075495.577786741,603175381.8371668
96,96,0.3,9270244,23361,0.1,1,90.0,3.0,3c50261e-6c55-46c0-b832-1a496399e197,2543220.0,65176.0,-1.0,-1.0,137820.61163812064,29119987711.0,29780.88482984403,43873.857108611555,341392401.6306018,603411674.3797178
97,97,0.3,9271116,23361,0.1,1,90.0,5.0,3f5821e2-d754-4243-95a3-7fea70a6a233,2543220.0,36263.0,-1.0,-1.0,108841.24161507736,29114449919.0,14104.615990057995,32995.874590116335,2276275.4711569836,4910352.4956161035
98,98,0.3,2578300,16486,0.1,1,90.0,5.0,6798197e-9111-4d85-91fe-a5871991cd5a,1053216.0,6419.0,2.0,25769803775.0,17227.737175022536,8311603200.0,28977.012566510173,37793.22687323944,2819411.8847480435,323694555.1404751
99,99,0.3,2577724,16486,0.1,1,90.0,3.0,268fce5b-4436-48e6-8f32-f23c135e7c1f,1053216.0,6562.0,2.0,25769803775.0,15414.485154997536,8311623679.0,10221.367602010807,8167.195394472372,1281151.1272742029,3052726.9129475597
100,100,0.3,2515348,16486,0.1,1,90.0,3.0,7bbfd19b-0c5c-4512-922b-7c617a32e9bd,1053216.0,12234.0,2.0,25769803775.0,18720.79037784504,5464989695.0,13199.72606730625,10918.225136229928,1619901.5556239388,5268111.066850452
101,101,0.3,2515636,16486,0.1,1,90.0,5.0,ab89ecbc-c4f4-4fba-abcc-d9680da4ebab,1053216.0,6530.0,2.0,25769803775.0,12983.405139648985,5464363007.0,81381.10894463645,118672.03366798445,6933464.5823969375,316209668.1026297
102,102,0.3,2577036,16486,0.1,1,90.0,5.0,9e938cf9-3313-4601-9d4e-973f93a37cc2,1053216.0,9067.0,2.0,25769803775.0,27732.83879239009,14158163967.0,11828.856248442782,27330.276293951687,1554105.5606301697,119707506.8895328
103,103,0.3,2593580,16486,0.1,1,90.0,3.0,986053aa-64c2-4131-af95-bc5128ca5e90,1053216.0,12481.0,2.0,25769803775.0,31333.214779992115,14169608191.0,13673.402969819923,31639.016765547243,1794955.38336635,137765478.3911042
104,104,0.3,2560156,16486,0.1,1,90.0,3.0,c40c774e-36b0-426a-b245-f5e4f63f893d,1053216.0,13295.0,2.0,25769803775.0,32494.048924317995,8165687295.0,17792.611377416404,20277.011924662766,2003248.6246752038,69035185.95120408
105,105,0.3,2560144,16486,0.1,1,90.0,5.0,7a724fbb-07a2-450c-a169-2427723185f5,1053216.0,9567.0,2.0,25769803775.0,28738.427839877455,8165556223.0,16082.393872225883,18890.318125537684,1791928.6008988055,68497499.23833193
106,106,0.3,2513804,16486,0.1,1,90.0,3.0,34ab6802-7bdf-47d6-86a8-2f58561e7507,1053216.0,9565.0,2.0,25769803775.0,28741.55978645645,8213610495.0,10136.496331236896,9229.12473794549,1289794.1320754716,3286278.334381551
107,107,0.3,2561460,16486,0.1,1,90.0,5.0,30a1f941-a19f-433b-adbd-501ea043f529,1053216.0,13926.0,0.0,0.0,33112.36521131853,8215392255.0,14196.63385908955,16741.584084255042,1852724.7513929014,156678163.1594738
108,108,0.3,9271884,23361,0.1,1,90.0,5.0,2fe663ba-cb78-451b-b039-14bca989cc76,2543220.0,36668.0,2.0,25769803775.0,110047.82795898966,29146648575.0,16510.509058831558,20457.152550696148,2054838.4166796615,36088069.47498416
