,ensemble_uuid,run_uuid,s3_path,ens_status,run_status
88,4c31a770-b51a-47a0-9347-a2482e49c96e,ffc65f16-3335-4ba1-907f-665ca2eb0609,burnpro3d/d/ff/c6/run_ffc65f16-3335-4ba1-907f-665ca2eb0609,Done,Done
89,4c31a770-b51a-47a0-9347-a2482e49c96e,ca84cd65-13b6-4fa4-a419-f24f412e02f7,burnpro3d/d/ca/84/run_ca84cd65-13b6-4fa4-a419-f24f412e02f7,Done,Done
90,4c31a770-b51a-47a0-9347-a2482e49c96e,18c6369d-5d81-4a74-ac06-a13325f660d6,burnpro3d/d/18/c6/run_18c6369d-5d81-4a74-ac06-a13325f660d6,Done,Done
91,4c31a770-b51a-47a0-9347-a2482e49c96e,0d3c37dc-c784-4cc4-bf35-bb5535f671c5,burnpro3d/d/0d/3c/run_0d3c37dc-c784-4cc4-bf35-bb5535f671c5,Done,Done
92,4c31a770-b51a-47a0-9347-a2482e49c96e,7f46f90b-6c9f-4a8d-835a-3f099e3ddb3e,burnpro3d/d/7f/46/run_7f46f90b-6c9f-4a8d-835a-3f099e3ddb3e,Done,Done
93,4c31a770-b51a-47a0-9347-a2482e49c96e,f29599e2-7f4f-4f8a-a798-9b600b669145,burnpro3d/d/f2/95/run_f29599e2-7f4f-4f8a-a798-9b600b669145,Done,Done
94,4c31a770-b51a-47a0-9347-a2482e49c96e,1dfd73b3-e491-4fb4-9d9f-1196d07dea15,burnpro3d/d/1d/fd/run_1dfd73b3-e491-4fb4-9d9f-1196d07dea15,Done,Done
95,4c31a770-b51a-47a0-9347-a2482e49c96e,67544b9d-bfd6-46a5-8f20-2cf9f9780ded,burnpro3d/d/67/54/run_67544b9d-bfd6-46a5-8f20-2cf9f9780ded,Done,Done
96,4c31a770-b51a-47a0-9347-a2482e49c96e,39b8fa40-b2d4-422a-80a6-36a64d3d3fd2,burnpro3d/d/39/b8/run_39b8fa40-b2d4-422a-80a6-36a64d3d3fd2,Done,Done
97,4c31a770-b51a-47a0-9347-a2482e49c96e,2a538cd8-cc7e-4837-945e-0b75e9df6d73,burnpro3d/d/2a/53/run_2a538cd8-cc7e-4837-945e-0b75e9df6d73,Done,Done
98,4c31a770-b51a-47a0-9347-a2482e49c96e,37c02b46-0cd6-4702-9bcc-9a523c7b4a5f,burnpro3d/d/37/c0/run_37c02b46-0cd6-4702-9bcc-9a523c7b4a5f,Done,Done
99,4c31a770-b51a-47a0-9347-a2482e49c96e,0c1cab50-c688-41a1-84e0-2e5ef8258429,burnpro3d/d/0c/1c/run_0c1cab50-c688-41a1-84e0-2e5ef8258429,Done,Done
100,4c31a770-b51a-47a0-9347-a2482e49c96e,b1882ce5-4a32-4cce-8264-e29b607eaf79,burnpro3d/d/b1/88/run_b1882ce5-4a32-4cce-8264-e29b607eaf79,Done,Done
101,4c31a770-b51a-47a0-9347-a2482e49c96e,229563f5-5742-4aaf-a6c5-541f534e4bfa,burnpro3d/d/22/95/run_229563f5-5742-4aaf-a6c5-541f534e4bfa,Done,Done
102,4c31a770-b51a-47a0-9347-a2482e49c96e,c52a6b02-b183-4914-a34c-a110d3e79607,burnpro3d/d/c5/2a/run_c52a6b02-b183-4914-a34c-a110d3e79607,Done,Done
103,4c31a770-b51a-47a0-9347-a2482e49c96e,feb4354b-5681-4f5c-8742-a6a5a8491b40,burnpro3d/d/fe/b4/run_feb4354b-5681-4f5c-8742-a6a5a8491b40,Done,Done
104,4c31a770-b51a-47a0-9347-a2482e49c96e,d732e62a-ba0b-4f6d-9d69-332fec89b2fe,burnpro3d/d/d7/32/run_d732e62a-ba0b-4f6d-9d69-332fec89b2fe,Done,Done
