,path,start,stop,sim_time,timestep,wind_direction,wind_speed,canopy_moisture,surface_moisture,run_max_mem_rss_bytes,threads,area,runtime,cpu_total,mem_total,ensemble_uuid,run_uuid
63,burnpro3d/d/01/45/run_0145a7a2-dd8a-4ab6-a51e-3adc0fa4b36e,2023-06-23T14:48:03.644447-07:00,2023-06-23T20:36:43.821773-07:00,27251,600,90.0,2.235,0.9,0.25,3917792,1,648024.0,20920.0,0.0,0.0,4c31a770-b51a-47a0-9347-a2482e49c96e,0145a7a2-dd8a-4ab6-a51e-3adc0fa4b36e
64,burnpro3d/d/6a/8a/run_6a8afb21-eea9-4304-9dba-84d483d97205,2023-06-23T14:47:37.075675-07:00,2023-06-23T18:05:01.871124-07:00,27251,600,90.0,2.235,0.9,0.2,3916872,1,648024.0,11844.0,0.0,0.0,4c31a770-b51a-47a0-9347-a2482e49c96e,6a8afb21-eea9-4304-9dba-84d483d97205
65,burnpro3d/d/47/c8/run_47c8ea93-1f12-4789-a2ed-7d76d76154d5,2023-06-23T15:32:20.424934-07:00,2023-06-23T20:49:07.759101-07:00,27251,600,120.0,6.705,0.9,0.1,3920992,1,648024.0,19007.0,0.0,0.0,4c31a770-b51a-47a0-9347-a2482e49c96e,47c8ea93-1f12-4789-a2ed-7d76d76154d5
66,burnpro3d/d/ac/a5/run_aca5513d-915c-423d-8987-486b256635d5,2023-06-23T14:43:07.810578-07:00,2023-06-23T18:05:01.839001-07:00,27251,600,120.0,2.235,0.9,0.1,3916492,1,648024.0,12114.0,0.0,0.0,4c31a770-b51a-47a0-9347-a2482e49c96e,aca5513d-915c-423d-8987-486b256635d5
67,burnpro3d/d/6d/8d/run_6d8d2860-e2d8-427b-b49f-5522899ca278,2023-06-23T15:19:28.964311-07:00,2023-06-23T20:50:12.469820-07:00,27251,600,120.0,2.235,0.9,0.15,3916460,1,648024.0,19844.0,0.0,0.0,4c31a770-b51a-47a0-9347-a2482e49c96e,6d8d2860-e2d8-427b-b49f-5522899ca278
68,burnpro3d/d/7b/b3/run_7bb34d97-474f-4b3f-b915-cb9dd05b44e8,2023-06-23T14:51:02.434557-07:00,2023-06-23T20:54:30.200857-07:00,27251,600,90.0,4.47,0.9,0.2,3918964,1,648024.0,21808.0,0.0,0.0,4c31a770-b51a-47a0-9347-a2482e49c96e,7bb34d97-474f-4b3f-b915-cb9dd05b44e8
69,burnpro3d/d/45/8d/run_458da827-d518-4fab-b260-a94c91f0d77a,2023-06-23T14:50:18.476584-07:00,2023-06-23T18:09:47.898061-07:00,27251,600,90.0,4.47,0.9,0.15,3919756,1,648024.0,11969.0,0.0,0.0,4c31a770-b51a-47a0-9347-a2482e49c96e,458da827-d518-4fab-b260-a94c91f0d77a
70,burnpro3d/d/91/bb/run_91bb76de-ba5e-4e09-bc57-1ffa7aae4e95,2023-06-23T15:25:46.915065-07:00,2023-06-23T18:37:53.749661-07:00,27251,600,120.0,4.47,1.0,0.1,3919504,1,648024.0,11527.0,0.0,0.0,4c31a770-b51a-47a0-9347-a2482e49c96e,91bb76de-ba5e-4e09-bc57-1ffa7aae4e95
71,burnpro3d/d/16/91/run_1691c60d-d3e4-4ab6-9d41-45f735bece0f,2023-06-23T15:23:46.747695-07:00,2023-06-23T20:54:53.917282-07:00,27251,600,120.0,4.47,0.9,0.1,3920132,1,648024.0,19867.0,0.0,0.0,4c31a770-b51a-47a0-9347-a2482e49c96e,1691c60d-d3e4-4ab6-9d41-45f735bece0f
72,burnpro3d/d/40/2b/run_402b98b2-a664-40c2-9594-dca762ee6801,2023-06-23T15:21:39.810689-07:00,2023-06-23T20:57:47.417022-07:00,27251,600,120.0,2.235,0.9,0.2,3916948,1,648024.0,20168.0,0.0,0.0,4c31a770-b51a-47a0-9347-a2482e49c96e,402b98b2-a664-40c2-9594-dca762ee6801
