,canopy_moisture,run_max_mem_rss_bytes,sim_time,surface_moisture,threads,wind_direction,wind_speed,run_uuid,area,runtime,queue_seconds,cpu_usage_total,mem_usage_total,transmitted_packets_total,received_packets_total,transmitted_bandwidth_total,received_bandwidth_total
247,0.3,11143584,18801,0.1,1,90.0,3.0,71ef82ce-e9a0-42ad-acda-5e39f299d3c3,1854216.0,37045.0,30.0,74038.53911643676,23308468223.0,44913.98519816315,170389.3180588871,4387787.369040761,1314900496.4466238
248,0.3,11145320,18801,0.1,1,90.0,5.0,e3acc8fc-c341-46df-a070-2bd7e67c214f,1854216.0,46540.0,12.0,83599.39626782287,23313481727.0,52442.52302085604,179054.17942707008,247180387.9361269,1316610802.404227
249,0.3,11103244,18801,0.3,1,90.0,3.0,9f6c0a2d-b2ee-40a7-87b5-eb28a3d6a294,1854216.0,30641.0,35.0,91869.0661762794,34792833023.0,58511.65334565359,163744.47910264705,5282930.310428529,1310470395.8440664
250,0.3,11103428,18801,0.3,1,90.0,5.0,831d4238-1f1a-4b2c-9103-027cf652601c,1854216.0,43128.0,20.0,116913.2164178107,34794864639.0,70340.02472065679,177345.46849397972,416191339.49142456,1312782540.044591
251,0.5,11121036,18801,0.1,1,90.0,3.0,6734ece3-d1ab-411d-b7a9-b488ee8dc223,1854216.0,32659.0,55.0,65290.15699379056,23234289663.0,64883.59698551396,376669.3919586862,5381740.987798706,2021494530.5814152
252,0.5,11122072,18801,0.1,1,90.0,5.0,6b6fb9de-6bd6-4d0c-a24a-a8148936d8b8,1854216.0,35825.0,55.0,68504.04595732379,23234834431.0,74956.28302751645,390748.8676095793,421087867.4264863,2023654729.2727745
253,0.5,11113044,18801,0.3,1,90.0,5.0,a4f82ffb-a654-44f2-bb9f-b8060ff694c3,1854216.0,29544.0,13.0,59018.41812890493,23219019775.0,47139.585033480966,229508.5530993557,4445271.080468478,1314666272.8523304
254,0.3,11145116,18801,0.3,1,90.0,5.0,25d3028d-f422-4dfe-b247-b8ee6e312067,1854216.0,39700.0,36.0,79303.7482917581,23283499007.0,50014.237380974,247955.0083747161,4709822.864505425,1320250888.8965592
255,0.3,11145232,18801,0.3,1,90.0,3.0,326d3ea6-48f9-4d99-9458-522bb7101a2a,1854216.0,40470.0,35.0,80139.15712006751,23283687423.0,55540.42969757636,254779.90481771552,220710790.18949947,1320913573.0474606
256,0.5,11089332,18801,0.1,1,90.0,3.0,871d6a9c-ed90-4d18-9128-9c9bf75f1261,1854216.0,51936.0,46.0,87939.59635806468,23169568767.0,82221.43506732563,410724.915839588,422561834.00192446,2159731793.313739
257,0.5,11090280,18801,0.1,1,90.0,5.0,1de86323-da09-4034-8d35-6647a094b2a1,1854216.0,36031.0,46.0,71941.70693620146,23168536575.0,70511.56463861551,396100.2702321935,6580786.988740979,2157299307.128456
258,0.5,11163520,18801,0.3,1,90.0,3.0,10877f2a-596b-4d67-9241-a02ec8e22749,1854216.0,49387.0,54.0,132881.10319357412,34981105664.0,49701.59536489183,102813.03111973894,324527407.7817468,1312073957.3944683
259,0.5,11163332,18801,0.3,1,90.0,5.0,45d299ad-40c1-41fe-83b7-d6f9ae5536e1,1854216.0,34142.0,57.0,102445.09216627105,34973892608.0,28635.481424215766,60074.67745866316,2912489.48182574,657556770.2943373
260,0.3,11093068,18801,0.1,1,90.0,5.0,2766feb3-f539-47a5-828b-93e860f6f3e6,1854216.0,38467.0,13.0,76887.50039790406,23173185535.0,55476.36164454853,246372.9781160552,4917322.793858964,1315023599.3947031
261,0.3,11091952,18801,0.1,1,90.0,3.0,009fbe9b-0f7a-410d-9a39-44a7cfecf207,1854216.0,52240.0,13.0,90710.28188949624,23174209535.0,65933.5930396834,259906.6203069763,418604461.4283854,1317300240.4344854
262,0.3,11155100,18801,0.3,1,90.0,3.0,3b74ab56-2bfa-4e6f-8c98-8a45b3b4f9ad,1854216.0,51604.0,25.0,136585.8141333962,34954547199.0,52021.62397653148,151445.6067553995,182219990.9994076,1316655114.3444138
263,0.3,11155404,18801,0.3,1,90.0,5.0,063c9bd0-5be9-4f67-8a6f-387874b44eda,1854216.0,42455.0,22.0,127313.25750879689,34953953279.0,45063.94048887317,146256.02156544087,4463346.79071075,1315512983.5013542
264,0.5,11157084,18801,0.1,1,90.0,3.0,5405a476-5975-4c4d-9563-e5227c79411e,1854216.0,52352.0,33.0,140714.35955533528,34970107903.0,36517.10299415204,125226.59693901228,299725709.04492486,964987253.918659
265,0.5,11158920,18801,0.1,1,90.0,5.0,b05f81c0-5961-4557-990a-29dd02fb0fc3,1854216.0,35961.0,33.0,107829.67499781052,34967494655.0,25794.307954396303,115579.3937306326,2586319.240308943,963109787.4526584
266,0.5,11166612,18801,0.3,1,90.0,5.0,a80aa967-2a0b-4c8f-a5b4-5e758710ebea,1854216.0,37171.0,47.0,72512.31024923293,23309996032.0,49281.46340738943,187142.233863584,350889660.2978766,1316199370.046739
267,0.5,11149256,18801,0.3,1,90.0,3.0,e36e2e38-127f-4ceb-b6f4-34825fd63a26,1854216.0,35365.0,45.0,70611.14608640873,23309914112.0,40474.8953758991,176303.21128938085,4182859.162241562,1314656678.964939
268,0.3,11076592,18801,0.1,1,90.0,3.0,a532f344-b79d-46be-b8f1-856c759f878d,1854216.0,39061.0,58.0,117174.58966587116,34709929983.0,62006.723793697165,172569.3499474763,6057036.176873534,2281364489.669664
