,runtime,sim_time,surface_moisture,timestep,wind_direction,wind_speed,canopy_moisture,run_max_mem_rss_bytes,area,steps_fire
377,4208,4225,0.1,600,60.0,10.0,0.5,2659960,820864.0,600
378,1626,4005,0.07,600,120.0,2.235,0.0,452104,294840.0,600
379,462,4005,0.07,600,90.0,2.235,0.0,452088,294840.0,600
380,13868,6906,0.2,600,240.0,6.705,0.9,2565464,820080.0,600
381,483,4005,0.09,600,60.0,6.705,0.0,451920,294840.0,600
382,12326,11359,0.05,600,210.0,3.129,0.8,2468868,1981888.0,600
383,10044,27251,0.2,600,60.0,4.47,0.9,3920132,648024.0,600
384,13240,27251,0.1,600,90.0,6.705,0.9,3919932,648024.0,600
385,13400,10666,0.1,600,60.0,4.47,0.9,2469756,1981888.0,600
386,898,4235,0.07,600,240.0,4.47,1.0,517008,359488.0,600
387,14770,16374,0.05,600,300.0,6.705,0.9,2427896,1981888.0,600
388,6980,14997,0.15,600,360.0,5.364,1.1,3919416,648024.0,600
389,1019,4005,0.1,600,120.0,6.705,0.0,452020,294840.0,600
390,8134,6906,0.2,600,300.0,4.47,1.1,2565252,820080.0,600
391,3396,4613,0.1,600,270.0,3.0,0.9,1651228,640000.0,600
392,1554,4225,0.3,600,60.0,20.0,0.3,2659328,820864.0,600
393,3342,9396,0.15,600,120.0,4.47,1.0,2456960,646416.0,600
394,2999,4671,0.05,600,270.0,3.0,0.9,1340968,646416.0,600
395,13503,10666,0.2,600,120.0,2.235,0.9,2467532,1981888.0,600
396,17695,8543,0.09,600,195.0,4.917,0.9,4233172,648024.0,600
397,1097,5223,0.15,600,60.0,4.47,0.9,451892,294840.0,600
398,10985,11382,0.05,600,180.0,2.682,0.9,2471324,1981888.0,600
399,2186,19838,0.1,600,120.0,2.235,0.9,452160,294840.0,600
400,2481,5167,0.12,600,133.0,4.0,1.0,1378648,727380.0,600
401,393,4235,0.07,600,240.0,2.235,1.0,517136,359488.0,600
402,2861,4225,0.2,600,120.0,5.0,0.5,2659584,820864.0,600
403,811,4228,0.07,600,300.0,2.235,1.1,516772,359488.0,600
404,2103,6748,0.05,600,120.0,3.576,0.9,1339176,646416.0,600
405,2968,9396,0.25,600,60.0,2.235,0.9,2456728,646416.0,600
406,1313,5945,0.25,600,90.0,4.47,0.9,1336880,646416.0,600
407,498,3937,0.05,600,300.0,4.47,0.95,517768,359488.0,600
408,2801,9396,0.15,600,90.0,4.47,1.0,2456572,646416.0,600
409,12699,10666,0.1,600,60.0,6.705,0.9,2469632,1981888.0,600
410,3913,5965,0.1,600,90.0,2.235,0.9,3929228,648024.0,600
411,2111,6748,0.1,600,90.0,3.576,0.9,1339028,646416.0,600
412,12244,6640,0.1,600,90.0,4.47,1.2,4229552,648024.0,600
413,50,20,0.12,1,0.0,5.0,1.0,3497960,795096.0,1
414,1908,5945,0.2,600,120.0,4.47,0.9,1336936,646416.0,600
415,592,5223,0.2,600,90.0,6.705,0.9,452004,294840.0,600
416,11406,16374,0.07,600,240.0,2.235,1.0,2427584,1981888.0,600
417,2874,4225,0.3,600,90.0,20.0,0.4,2658568,820864.0,600
418,746,3917,0.1,600,240.0,2.235,0.9,516440,359488.0,600
419,7894,4225,0.1,600,60.0,15.0,0.4,2659720,820864.0,600
420,20167,27251,0.2,600,120.0,2.235,0.9,3916948,648024.0,600
421,602,4005,0.1,600,90.0,2.235,0.9,403596,294840.0,600
422,808,4235,0.12,600,270.0,2.235,1.0,516952,359488.0,600
423,10473,6906,0.2,600,270.0,2.235,1.1,2565264,820080.0,600
424,20244,6640,0.1,600,120.0,2.235,1.2,4230960,648024.0,600
425,4347,4225,0.2,600,120.0,20.0,0.4,2659228,820864.0,600
426,14901,13493,0.2,600,60.0,4.47,0.9,2426516,1981888.0,600
427,503,3917,0.1,600,300.0,2.235,0.9,516588,359488.0,600
428,2686,4225,0.1,600,60.0,15.0,0.5,2659800,820864.0,600
429,7929,13800,0.12,120,220.0,5.0,1.0,3528004,795096.0,120
430,13260,6906,0.2,600,270.0,2.235,0.9,2565260,820080.0,600
431,3257,9396,0.25,600,90.0,4.47,0.9,2444108,646416.0,600
432,2393,4225,0.3,600,60.0,5.0,0.4,2659192,820864.0,600
433,1693,4225,0.1,600,90.0,15.0,0.3,2659404,820864.0,600
434,10623,7313,0.2,600,300.0,2.235,0.9,2551696,820080.0,600
435,650,4235,0.09,600,270.0,2.235,1.0,517000,359488.0,600
436,1644,4225,0.2,600,180.0,5.0,0.3,2659276,820864.0,600
437,12619,27251,0.25,600,60.0,2.235,1.0,3917816,648024.0,600
438,725,5223,0.1,600,120.0,2.235,0.9,452048,294840.0,600
439,12247,10666,0.15,600,90.0,4.47,0.9,2469200,1981888.0,600
440,725,5223,0.1,600,120.0,6.705,0.9,451928,294840.0,600
441,1478,4225,0.2,600,180.0,10.0,0.4,2659224,820864.0,600
442,2383,9396,0.1,600,120.0,4.47,1.0,2457172,646416.0,600
443,7420,6906,0.15,600,300.0,6.705,1.1,2565208,820080.0,600
444,24702,27251,0.1,600,60.0,2.235,1.0,3919288,648024.0,600
445,10,5983,0.2,600,150.0,2.235,1.0,2274992,648024.0,600
446,2573,5918,0.1,600,60.0,4.47,1.0,2461964,646416.0,600
447,11969,27251,0.15,600,90.0,4.47,0.9,3919756,648024.0,600
448,2707,9396,0.1,600,90.0,4.47,1.0,2456648,646416.0,600
449,11462,27251,0.25,600,90.0,6.705,1.0,3919644,648024.0,600
450,7172,14997,0.1,600,30.0,5.364,1.0,3919888,648024.0,600
451,20228,6640,0.15,600,90.0,4.47,1.2,4229420,648024.0,600
452,1250,5295,0.05,600,170.0,5.364,1.2,647024,538244.0,600
453,3473,19838,0.2,600,60.0,4.47,0.9,452208,294840.0,600
454,3613,5945,0.25,600,120.0,2.235,1.0,1336724,646416.0,600
455,2523,19838,0.2,600,120.0,6.705,1.0,452088,294840.0,600
456,1064,4622,0.1,600,270.0,2.0,1.0,1331440,417648.0,600
457,3342,4225,0.1,600,60.0,15.0,0.3,2659828,820864.0,600
458,2420,6748,0.05,600,90.0,2.235,0.9,1339020,646416.0,600
459,1485,4225,0.3,600,90.0,10.0,0.4,2658744,820864.0,600
460,11544,11359,0.1,600,150.0,3.129,1.0,2468588,1981888.0,600
461,2694,4225,0.1,600,60.0,5.0,0.3,2659820,820864.0,600
462,2264,4225,0.2,600,120.0,10.0,0.3,2659240,820864.0,600
463,435,9396,0.15,600,60.0,2.235,0.9,2456360,646416.0,600
464,19982,6705,0.1,600,60.0,1.341,0.9,4245296,648024.0,600
465,2171,6748,0.1,600,60.0,3.576,0.9,1338904,646416.0,600
466,12767,10603,0.07,600,150.0,2.682,0.9,2470076,1981888.0,600
467,7458,4225,0.3,600,60.0,15.0,0.4,2659368,820864.0,600
468,11201,11382,0.07,600,180.0,1.788,0.9,2470196,1981888.0,600
469,19007,27251,0.1,600,120.0,6.705,0.9,3920992,648024.0,600
470,17735,11382,0.12,600,120.0,2.682,0.9,2470040,1981888.0,600
471,4756,4225,0.1,600,120.0,5.0,0.4,2658836,820864.0,600
472,2577,4225,0.2,600,90.0,5.0,0.5,2659156,820864.0,600
473,2630,4225,0.1,600,60.0,10.0,0.3,2659912,820864.0,600
474,8757,11382,0.05,600,120.0,2.682,0.9,2470200,1981888.0,600
475,11184,7313,0.15,600,270.0,6.705,0.9,2551932,820080.0,600
476,12439,14997,0.1,600,330.0,5.364,1.1,3912204,648024.0,600
477,542,4005,0.1,600,60.0,2.235,0.9,452460,294840.0,600
478,18202,6906,0.2,600,300.0,2.235,1.1,2565332,820080.0,600
479,3247,5918,0.2,600,90.0,2.235,1.0,2461932,646416.0,600
480,5486,4503,0.05,600,5.0,2.235,1.0,1934704,560976.0,600
481,1236,5295,0.07,600,170.0,1.341,1.2,646720,538244.0,600
